State or jurisdiction,1970,1980,1990,2000,2010,2012,2014,2015,2016,2017
Alabama,"103,936","164,306","218,589","233,962","327,606","310,311","305,028","302,959","304,052","306,822"
Alaska,"9,471","21,296","29,833","27,953","34,799","32,797","34,331","31,373","28,436","26,905"
Arizona,"109,619","202,716","264,148","342,490","793,871","736,465","674,746","650,422","608,086","591,626"
Arkansas,"52,039","77,347","90,425","115,172","175,848","176,458","169,571","168,402","167,235","164,082"
California,"1,257,245","1,791,088","1,808,740","2,256,708","2,714,699","2,621,606","2,697,168","2,687,410","2,700,445","2,714,051"
Colorado,"123,395","162,916","227,131","263,872","369,450","363,170","353,949","348,159","352,255","360,236"
Connecticut,"124,700","159,632","168,604","161,243","199,384","201,658","201,928","199,666","198,010","197,534"
Delaware,"25,260","32,939","42,004","43,897","55,258","58,127","60,437","60,392","61,139","60,338"
District of Columbia,"77,158","86,675","79,551","72,689","91,992","90,150","90,053","93,972","93,040","95,999"
Florida,"235,525","411,891","588,086","707,684","1,124,778","1,154,506","1,111,018","1,083,570","1,075,527","1,071,484"
Georgia,"126,511","184,159","251,786","346,204","568,916","545,360","530,963","530,711","533,073","538,124"
Hawaii,"36,562","49,009","56,436","60,182","78,073","78,456","73,505","69,332","65,843","64,125"
Idaho,"34,567","43,018","51,881","65,594","85,201","108,008","118,953","121,109","123,796","131,803"
Illinois,"452,146","645,288","729,246","743,918","906,845","866,893","825,002","802,211","777,720","757,002"
Indiana,"192,668","247,253","284,832","314,334","459,493","447,263","436,455","426,364","419,284","398,804"
Iowa,"108,902","140,449","170,515","188,974","381,867","361,189","282,518","275,106","266,513","260,954"
Kansas,"102,485","136,605","163,733","179,968","214,849","213,855","226,290","219,994","215,832","213,962"
Kentucky,"98,591","143,066","177,852","188,341","291,104","281,133","264,197","255,722","255,062","258,498"
Louisiana,"120,728","160,058","186,840","223,800","263,676","258,846","245,938","245,305","239,278","242,065"
Maine,"34,134","43,264","57,186","58,473","72,406","73,095","71,750","71,719","72,116","71,811"
Maryland,"149,607","225,180","259,700","273,745","377,967","374,496","365,597","364,225","366,809","364,207"
Massachusetts,"303,809","418,415","417,833","421,142","507,753","514,119","511,060","510,512","505,722","503,508"
Michigan,"392,726","520,131","569,803","567,631","697,765","663,703","619,962","601,462","583,034","558,053"
Minnesota,"160,788","206,691","253,789","293,445","465,449","451,661","433,948","430,466","422,793","412,966"
Mississippi,"73,967","102,364","122,883","137,389","179,995","176,618","170,724","174,183","172,588","171,751"
Missouri ,"183,930","233,378","289,899","321,348","444,750","441,186","419,935","409,999","401,098","383,489"
Montana ,"30,062","35,177","35,876","42,240","53,282","53,254","51,942","50,799","50,918","50,642"
Nebraska,"66,915","89,488","112,831","112,117","144,692","139,558","135,825","136,091","136,098","135,864"
Nevada,"13,669","40,455","61,728","87,893","129,360","118,300","119,205","116,101","116,030","117,574"
New Hampshire,"29,400","46,794","59,510","61,718","75,539","82,678","106,559","123,508","133,159","149,184"
New Jersey,"216,121","321,610","324,286","335,945","444,092","439,966","436,249","423,759","421,386","419,037"
New Mexico,"44,461","58,629","85,500","110,739","162,552","156,424","146,246","138,248","134,607","129,494"
New York,"806,479","992,349","1,048,286","1,043,395","1,305,151","1,309,684","1,298,972","1,285,406","1,273,634","1,260,240"
North Carolina,"171,925","287,537","352,138","404,652","585,792","578,265","569,955","562,442","561,415","563,831"
North Dakota ,"31,495","34,069","37,878","40,248","56,903","55,242","54,048","53,834","54,203","53,749"
Ohio,"376,267","488,938","557,690","549,553","745,115","710,379","680,558","664,623","658,043","649,687"
Oklahoma,"110,155","160,295","173,221","178,016","230,560","228,492","215,410","211,117","208,333","202,051"
Oregon,"122,177","157,458","165,741","183,065","251,708","254,926","245,547","240,649","236,851","229,936"
Pennsylvania,"411,044","507,716","604,060","609,521","804,640","777,350","750,376","736,163","725,682","717,289"
Rhode Island,"45,898","66,869","78,273","75,450","85,110","83,952","83,499","82,292","83,348","82,766"
South Carolina,"69,518","132,476","159,302","185,931","257,064","259,617","254,629","249,655","246,563","246,388"
South Dakota,"30,639","32,761","34,208","43,221","58,360","56,058","53,961","53,664","53,683","53,620"
Tennessee,"135,103","204,841","226,238","263,910","351,762","343,478","326,623","323,869","321,752","323,157"
Texas,"442,225","701,391","901,437","1,033,973","1,535,864","1,544,524","1,556,288","1,579,614","1,605,498","1,630,516"
Utah,"81,687","92,159","121,303","163,776","255,653","267,309","274,926","292,995","311,450","332,334"
Vermont,"22,209","30,628","36,398","35,489","45,572","44,697","43,980","43,865","44,719","43,855"
Virginia,"151,915","280,504","353,442","381,893","577,922","588,708","577,911","569,752","557,444","554,212"
Washington,"183,544","303,603","263,384","320,840","388,116","365,529","365,186","364,844","366,547","367,944"
West Virginia,"63,153","81,973","84,790","87,888","152,431","162,182","157,052","150,897","146,608","142,963"
Wisconsin,"202,058","269,086","299,774","307,179","384,181","369,738","358,924","350,255","341,717","340,770"
Wyoming,"15,220","21,147","31,326","30,004","38,298","37,812","35,461","34,205","33,365","33,015"

